,티커,종목명
958,005180,빙그레
959,072950,빛샘전자
960,266170,뿌리깊은나무들
961,143240,사람인에이치알
962,003960,사조대림
963,008040,사조동아원
964,007160,사조산업
965,014710,사조씨푸드
966,006090,사조오양
967,100090,삼강엠앤티
968,122350,삼기
969,014970,삼륭물산
970,018310,삼목에스폼
971,053700,삼보모터스
972,009620,삼보산업
973,023600,삼보판지
974,001470,삼부토건
975,006400,삼성SDI
976,006405,삼성SDI우
977,006660,삼성공조
978,380320,삼성머스트스팩5호
979,028260,삼성물산
980,02826K,삼성물산우B
981,207940,삼성바이오로직스
982,032830,삼성생명
983,377630,삼성스팩4호
984,425290,삼성스팩6호
985,018260,삼성에스디에스
986,028050,삼성엔지니어링
987,009150,삼성전기
988,009155,삼성전기우
989,005930,삼성전자
990,005935,삼성전자우
991,001360,삼성제약
992,010140,삼성중공업
993,010145,삼성중공우
994,016360,삼성증권
995,068290,삼성출판사
996,029780,삼성카드
997,000810,삼성화재
998,000815,삼성화재우
999,006110,삼아알미늄
1000,009300,삼아제약
1001,145990,삼양사
1002,145995,삼양사우
1003,003230,삼양식품
1004,225190,삼양옵틱스
1005,002170,삼양통상
1006,272550,삼양패키징
1007,000070,삼양홀딩스
1008,000075,삼양홀딩스우
1009,002810,삼영무역
1010,361670,삼영에스앤씨
1011,054540,삼영엠텍
1012,065570,삼영이엔씨
1013,005680,삼영전자
1014,003720,삼영화학
1015,023000,삼원강재
1016,004380,삼익THK
1017,002450,삼익악기
1018,032280,삼일
1019,002290,삼일기업공사
1020,004440,삼일씨엔에스
1021,000520,삼일제약
1022,009770,삼정펄프
1023,037460,삼지전자
1024,032750,삼진
1025,054090,삼진엘앤디
1026,005500,삼진제약
1027,000250,삼천당제약
1028,004690,삼천리
1029,024950,삼천리자전거
1030,038500,삼표시멘트
1031,017480,삼현철강
1032,010960,삼호개발
1033,046390,삼화네트웍스
1034,004450,삼화왕관
1035,009470,삼화전기
1036,011230,삼화전자
1037,001820,삼화콘덴서
1038,000390,삼화페인트
1039,027580,상보
1040,038540,상상인
1041,101000,상상인인더스트리
1042,415580,상상인제3호스팩
1043,001290,상상인증권
1044,041650,상신브레이크
1045,091580,상신이디피
1046,263810,상신전자
1047,089980,상아프론테크
1048,042940,상지카일룸
1049,042600,새로닉스
1050,075180,새론오토모티브
1051,107600,새빗켐
1052,252990,샘씨엔에스
1053,007540,샘표
1054,248170,샘표식품
1055,294630,서남
1056,038070,서린바이오
1057,006730,서부T&D
1058,079650,서산
1059,100660,서암기계공업
1060,007860,서연
1061,200880,서연이화
1062,019770,서연탑메탈
1063,017390,서울가스
1064,043710,서울리거
1065,092190,서울바이오시스
1066,046890,서울반도체
1067,004410,서울식품
1068,004415,서울식품우
1069,063170,서울옥션
1070,027040,서울전자통신
1071,018680,서울제약
1072,021050,서원
1073,093920,서원인텍
1074,189860,서전기전
