rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20180330002417,11011,2017,00125080,006840,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 48 기,2017.01.01 ~ 2017.12.31,"240,684,560,763",제 47 기,2016.01.01 ~ 2016.12.31,"194,076,940,831",제 46 기,2015.01.01 ~ 2015.12.31,"-19,888,397,969",27,KRW
20180330002417,11011,2017,00125080,006840,CFS,연결재무제표,IS,손익계산서,당기순이익,제 48 기,2017.01.01 ~ 2017.12.31,"185,414,017,343",제 47 기,2016.01.01 ~ 2016.12.31,"133,322,340,810",제 46 기,2015.01.01 ~ 2015.12.31,"-37,443,062,232",29,KRW
20180330002417,11011,2017,00125080,006840,OFS,재무제표,BS,재무상태표,유동자산,제 48 기,2017.12.31 현재,"5,745,956,656",제 47 기,2016.12.31 현재,"4,450,475,615",제 46 기,2015.12.31 현재,"3,956,856,041",2,KRW
20180330002417,11011,2017,00125080,006840,OFS,재무제표,BS,재무상태표,비유동자산,제 48 기,2017.12.31 현재,"530,329,282,674",제 47 기,2016.12.31 현재,"521,089,755,932",제 46 기,2015.12.31 현재,"518,339,305,095",4,KRW
20180330002417,11011,2017,00125080,006840,OFS,재무제표,BS,재무상태표,자산총계,제 48 기,2017.12.31 현재,"536,075,239,330",제 47 기,2016.12.31 현재,"525,540,231,547",제 46 기,2015.12.31 현재,"522,296,161,136",6,KRW
20180330002417,11011,2017,00125080,006840,OFS,재무제표,BS,재무상태표,유동부채,제 48 기,2017.12.31 현재,"50,854,184,019",제 47 기,2016.12.31 현재,"49,806,003,869",제 46 기,2015.12.31 현재,"53,165,665,385",8,KRW
20180330002417,11011,2017,00125080,006840,OFS,재무제표,BS,재무상태표,비유동부채,제 48 기,2017.12.31 현재,"146,623,169",제 47 기,2016.12.31 현재,"823,441,026",제 46 기,2015.12.31 현재,"933,876,627",10,KRW
20180330002417,11011,2017,00125080,006840,OFS,재무제표,BS,재무상태표,부채총계,제 48 기,2017.12.31 현재,"51,000,807,188",제 47 기,2016.12.31 현재,"50,629,444,895",제 46 기,2015.12.31 현재,"54,099,542,012",12,KRW
20180330002417,11011,2017,00125080,006840,OFS,재무제표,BS,재무상태표,자본금,제 48 기,2017.12.31 현재,"66,237,805,000",제 47 기,2016.12.31 현재,"66,237,805,000",제 46 기,2015.12.31 현재,"66,237,805,000",15,KRW
20180330002417,11011,2017,00125080,006840,OFS,재무제표,BS,재무상태표,이익잉여금,제 48 기,2017.12.31 현재,"199,888,473,397",제 47 기,2016.12.31 현재,"189,757,913,500",제 46 기,2015.12.31 현재,"183,043,745,972",19,KRW
20180330002417,11011,2017,00125080,006840,OFS,재무제표,BS,재무상태표,자본총계,제 48 기,2017.12.31 현재,"485,074,432,142",제 47 기,2016.12.31 현재,"474,910,786,652",제 46 기,2015.12.31 현재,"468,196,619,124",22,KRW
